draw,kernel.kernel_efficiency,topology.net_efficiency,parallelism.overlap_dp,parallelism.overlap_tp,reliability.failure_rate_per_node_day,reliability.detect_time_s,reliability.restart_time_s,reliability.checkpoint_write_s,reliability.straggler_cv,sea_bandwidth_2x,sea_bandwidth_4x,sea_flat_fabric,sea_scaleup_2x,sea_reliability_2x,sea_fast_detection,sea_fast_restart,sea_fast_checkpoint,sea_add_spares,sea_straggler_control,winner,winner_sea,recovery_pressure,within_validity_envelope
0,0.5012483100242368,0.8798817437836566,0.8596578032507655,0.31834524111196566,0.0087180977339662,305.21961494961823,170.73151852370856,82.321707189571,0.013365728301184737,273.19529934730235,413.06282880598155,58.40283659834313,0.0,4439.692768026271,1404.9472379905637,518.341047103062,4059.0367468151817,0.0,345.5474339833454,reliability_2x,4439.692768026271,0.18508956360744602,True
1,0.5821541161731631,0.9128610312915626,0.8051340474499452,0.207539667789027,0.014653859121644346,289.93552821986907,175.62874854258666,19.747465727956435,0.04174586314493681,384.6697965577114,582.8753864904284,91.42974667534872,0.0,6036.680166164726,2297.9243813210887,909.5825093751046,1591.2129105377644,0.0,3600.9343754449364,reliability_2x,6036.680166164726,0.19804034683357344,True
2,0.6337687770448837,0.8383643142666818,0.6576616859515756,0.32046581638635313,0.013662581571850919,371.740887241154,141.73184757184788,66.23771882361682,0.04192007686927155,779.0723409280254,1198.2486793992139,209.61541487240538,0.0,10312.327699493428,3308.5515092637615,660.0429952682971,5510.193802495283,0.0,4220.892218065608,reliability_2x,10312.327699493428,0.24814737430990622,True
3,0.5961099616281307,0.8558550616408188,0.7791279180254331,0.2613654658415444,0.012099247608400738,272.8571577295723,532.487175867498,56.31982099196838,0.04691116525357442,528.1536397894597,806.1889869498336,129.42779086999872,0.0,11882.738878963712,1889.4919417464116,3966.4346778371437,4567.228164524513,0.0,5144.327278581328,reliability_2x,11882.738878963712,0.276905718580658,False
4,0.4879405321465921,0.7869333690074148,0.6772228174083736,0.13439082280205092,0.001911100442759912,306.0234878458291,251.82578933684232,85.62900852754396,0.0365544559025722,456.2828616067927,693.4362871399535,123.0617463427443,0.0,0.0,272.1083499900451,181.57372622660114,1516.9137518228672,0.0,2445.1674253206365,straggler_control,2445.1674253206365,0.0698414353960711,True
5,0.6196562390335983,0.7616252115539868,0.7497212499798538,0.023589528145127395,0.01048050724762026,92.58752912114629,64.54883212715,81.8104953618211,0.026811710253823437,519.5245703885885,791.9246435769273,131.8320799502435,0.0,3646.8466011503115,412.70597023322625,25.33252686857304,4276.946650510414,0.0,1690.4256831521634,fast_checkpoint,4276.946650510414,0.14393572342489772,True
6,0.6377652102521852,0.9037921849639365,0.7916399658259862,0.34151168279994804,0.008238702948246935,92.95637040742506,347.40737580117974,46.55948882306714,0.02336647779373511,416.79807457644347,632.3311092766999,100.94610905262016,0.0,3120.4835090235792,310.81809114008865,1293.3224790521017,2372.474882032184,0.0,1339.3483620323677,reliability_2x,3120.4835090235792,0.14849093046656023,True
7,0.5529547476786494,0.7553813849175596,0.7897756023323305,0.04123849203204055,0.010651340548590007,33.9746266723082,610.8733460383604,50.29934239504916,0.0010474448651627334,463.44095906095026,704.9084086606381,112.30812306789448,0.0,6501.446097401604,78.15940440858685,3785.9955145385284,3298.888161703522,0.0,0.0,reliability_2x,6501.446097401604,0.22067106486291407,True
8,0.4699044302764505,0.7932624684600424,0.6750442349295964,0.05141575912752008,0.003722876111737904,211.90201761800617,107.01942243705138,60.44094677757192,0.014513079470890412,439.9633028347962,668.1003827040004,118.88288847025615,0.0,616.7492304633015,358.8461868849772,86.5755131706319,1700.0464368843059,0.0,408.17489372509226,fast_checkpoint,1700.0464368843059,0.08057837170664929,True
9,0.5514568264570027,0.7419175236032587,0.9465769643097064,0.2273862221677347,0.0108697964506305,182.29181707331705,230.69819135569003,61.41891304324831,0.020411777289759382,211.44982517696553,319.1624946894517,28.091278399686416,0.0,4991.034770571972,958.1512470551934,1010.863524658409,3622.855627687328,0.0,1074.0585560891668,reliability_2x,4991.034770571972,0.1879991244546574,True
10,0.5638824236288253,0.7420942137014999,0.7460406166042786,0.04496791345538879,0.0019468026961110864,329.52777558589133,888.2322135775311,71.27480795373951,0.03918646759754113,464.18148112524796,705.7688822230411,118.43456380409043,0.0,0.0,299.4787640101931,824.872298808521,1384.0053054431846,0.0,2784.689497992298,straggler_control,2784.689497992298,0.09456740372867974,True
11,0.5660532172940714,0.77791317125316,0.6533357700812333,0.2563992523306049,0.004046948120296166,301.7100081335033,218.92711030552158,10.954149224045532,0.04201785474011639,570.5849298626126,871.1637330985432,155.50981667127417,0.0,620.4624632437044,569.3299313348471,317.09785732737146,326.6966249774159,0.0,3012.990602868831,straggler_control,3012.990602868831,0.07074159054058711,True
12,0.6851355234392152,0.7586022739853373,0.8292657202907989,0.13489250428028307,0.010780349705695498,301.83089235685804,578.7138896202373,88.09986974471516,0.04867940049261088,560.2006389146845,855.9475411011081,126.64184295825908,0.0,12730.870529205156,1923.1867679110183,3972.254603930349,6440.0222459933575,0.0,5579.462776124743,reliability_2x,12730.870529205156,0.2897536133208062,False
13,0.485255049020492,0.7663966580238916,0.7056754849722122,0.16344089310607193,0.0028703561139854293,214.9617776385183,671.8510139360164,66.27080119602424,0.027155778375387504,453.23157643500963,688.7641084340867,119.81008228151404,0.0,311.11143879906376,280.9595411975097,913.3573553931201,1644.5582162746432,0.0,1634.2736417852284,fast_checkpoint,1644.5582162746432,0.1054768815509076,True
