cut,raw_bytes_gb,exposed_bytes_gb,hideable_fraction,circuit_lower_bound_s_at_400g
tp,277076.930199552,249369.23717959682,0.09999999999999998,6519.45718116593
cp,,,,
pp,586.4062014805334,175.92186044416005,0.7,13.797792976012548
dp,67.5,10.125000000000002,0.85,1.588235294117647
checkpoint,5670.0,5670.0,0.0,133.41176470588235
