regime,n_accelerators,bundle,bundle_sea,sum_of_individual_sea,additivity_error,capped,recovery_pressure,within_validity_envelope,shapley_bandwidth_2x,shapley_flat_fabric,shapley_fast_detection,shapley_fast_restart,shapley_fast_checkpoint,shapley_reliability_2x
reliable_flat,16384,network_pair,239.542697328121,239.542697328121,0.0,0.0,0.048979075353549784,True,239.542697328121,0.0,,,,
reliable_flat,16384,recovery_trio,922.4135143444219,904.5847381469393,-0.019328398728149367,0.0,0.048979075353549784,True,,,121.16860642323141,290.79628818842014,510.4486197327702,
reliable_flat,16384,mixed_quad,527.0633176853808,523.433295858671,-0.006887259471311894,0.0,0.048979075353549784,True,241.35770824147585,0.0,,285.7056094439049,,0.0
reliable_flat,65536,network_pair,3358.264617458961,3358.264617458961,0.0,0.0,0.14000366929553956,True,3358.264617458961,0.0,,,,
reliable_flat,65536,recovery_trio,20007.675446953028,17131.79060238597,-0.14373907914450043,0.0,0.14000366929553956,True,,,3593.7003369633844,8506.655261238595,7907.319848751047,
reliable_flat,65536,mixed_quad,11347.919580386326,10725.504641973515,-0.05484837410097518,0.0,0.14000366929553956,True,3669.4720866653656,0.0,,7678.44749372096,,0.0
reliable_oversubscribed,16384,network_pair,300.36466778774775,329.02235543107236,0.09540964939183699,0.0,0.048979075353549784,True,255.5721384681383,44.79252931960946,,,,
reliable_oversubscribed,16384,recovery_trio,925.4550803678758,907.4575404215466,-0.019447232316424295,0.0,0.048979075353549784,True,,,121.56804810506097,291.7564621331536,512.1305701296611,
reliable_oversubscribed,16384,mixed_quad,590.0411913025273,613.8130666480465,0.040288501372323426,0.0,0.048979075353549784,True,257.53956328442774,45.17632370193435,,287.32530431616516,,0.0
reliable_oversubscribed,65536,network_pair,4851.87272641006,5427.49403303492,0.1186389955143706,0.0,0.14000366929553956,True,3819.7489785302096,1032.1237478798503,,,,
reliable_oversubscribed,65536,recovery_trio,20407.058528870184,17398.20298084535,-0.1474419031909061,0.0,0.14000366929553956,True,,,3667.628339886534,8676.704625490536,8062.725563493113,
reliable_oversubscribed,65536,mixed_quad,13275.516662747352,12915.70226849556,-0.027103607595286582,0.0,0.14000366929553956,True,4158.689757327449,1142.9043786581556,,7973.922526761746,,0.0
typical,16384,network_pair,313.19847004078474,343.02728790852416,0.09523934731818806,0.0,0.08244700679568473,True,266.4998606069894,46.698609433795355,,,,
typical,16384,recovery_trio,1648.3407896401877,1584.804786549019,-0.03854542913121621,0.0,0.08244700679568473,True,,,256.32534235096256,613.7363575065076,778.2790897827174,
typical,16384,mixed_quad,1629.5242117833986,1902.2292999294914,0.16735258437653797,0.0,0.08244700679568473,True,279.38123789429363,48.723167490912,,457.75793686714735,,843.6618695310457
typical,65536,network_pair,6111.273895836668,6804.502626427973,0.11343440703313432,0.0,0.23472265180688714,True,4824.782812643054,1286.491083193614,,,,
typical,65536,recovery_trio,1000000000.0,41639.476425898145,-0.9999583605235741,1.0,0.23472265180688714,True,,,333323140.04592985,333343243.47936696,333333616.47470313,
typical,65536,mixed_quad,1000000000.0,57888.644836046224,-0.999942111355164,1.0,0.23472265180688714,True,333316209.670619,2394.5109014346804,,333334925.4023436,,333346470.4161359
unreliable_flat,16384,network_pair,289.68639600855386,289.68639600855386,0.0,0.0,0.19006481477807194,True,289.68639600855386,0.0,,,,
unreliable_flat,16384,recovery_trio,5018.665974645519,4386.0555686284715,-0.12605150635906393,0.0,0.19006481477807194,True,,,956.1943837891346,2276.372100260049,1786.0994905963348,
unreliable_flat,16384,mixed_quad,6518.6091687503285,7870.55958969102,0.20739860082758596,0.0,0.19006481477807194,True,374.35365373964,0.0,,1278.5843641109882,,4865.6711508997
unreliable_flat,65536,network_pair,19703.637574220847,19703.637574220847,0.0,0.0,0.4771991199619554,False,19703.637574220847,0.0,,,,
unreliable_flat,65536,recovery_trio,1000000000.0,3000000000.0,2.0,1.0,0.4771991199619554,False,,,333333333.3333333,333333333.3333333,333333333.3333333,
unreliable_flat,65536,mixed_quad,1000000000.0,2000019703.6375742,1.0000197036375742,1.0,0.4771991199619554,False,6567.879191406949,0.0,,499996716.06040424,,499996716.06040424
unreliable_oversubscribed,16384,network_pair,363.7840796580931,398.1985917406346,0.09460147930301506,0.0,0.19006481477807194,True,309.59744382555436,54.18663583253874,,,,
unreliable_oversubscribed,16384,recovery_trio,5049.722763111873,4404.5285222481325,-0.12776825008629622,0.0,0.19006481477807194,True,,,962.20791093623,2290.375173978619,1797.1396781970236,
unreliable_oversubscribed,16384,mixed_quad,6680.90957835249,8023.418446590404,0.200947019637553,0.0,0.19006481477807194,True,402.14750520328255,68.69418507220385,,1291.3059997009852,,4918.761888376019
unreliable_oversubscribed,65536,network_pair,1000000000.0,1000005167.4914708,5.167491470813751e-06,1.0,0.4771991199619554,False,999997416.2542646,2583.7457354238286,,,,
unreliable_oversubscribed,65536,recovery_trio,1000000000.0,3000000000.0,2.0,1.0,0.4771991199619554,False,,,333333333.3333333,333333333.3333333,333333333.3333333,
unreliable_oversubscribed,65536,mixed_quad,1000000000.0,3000005167.491471,2.0000051674914707,1.0,0.4771991199619554,False,333332902.7090441,1291.8728677119143,,333332902.7090441,,333332902.7090441
