cut,regime,placement,circuit_gbps,retention
dp,region,hierarchical,3200.0,0.9837446286916798
dp,region,hierarchical,6400.0,0.9860083758264496
dp,region,hierarchical,12800.0,0.9871441608160072
dp,region,hierarchical,25600.0,0.9877130351109793
dp,region,hierarchical,51200.0,0.9879977182037264
dp,region,hierarchical,102400.0,0.9879977182037264
dp,region,hierarchical,204800.0,0.9879977182037264
dp,region,blind,100.0,0.1032089153067249
dp,region,blind,200.0,0.16306926071007063
dp,region,blind,400.0,0.22967372145650877
dp,region,blind,800.0,0.2886150963401345
dp,region,blind,1600.0,0.3311003930145319
dp,region,blind,3200.0,0.3574062044982893
dp,region,blind,6400.0,0.3721914451669705
dp,region,blind,12800.0,0.3800524830532035
dp,region,blind,25600.0,0.384108855526212
dp,region,blind,51200.0,0.38616968680255553
dp,region,blind,102400.0,0.38616968680255553
dp,region,blind,204800.0,0.38616968680255553
