oversubscription,failure_rate_per_node_day,n_pool,productive_accelerators,productive_per_pool
4.0,0.001,10152,7299.234395152955,0.7189947197747197
4.0,0.001,10811,7728.028066718389,0.7148300866449346
4.0,0.001,11602,8236.320314454082,0.709905215863996
4.0,0.001,12393,8737.922711993144,0.7050692093918457
4.0,0.001,13316,9313.97313422889,0.6994572795305565
4.0,0.001,14239,9882.092783192946,0.6940159269044839
4.0,0.001,15294,10520.968828557672,0.6879147919810169
4.0,0.001,16349,11148.17030353742,0.6818869841297583
4.0,0.001,17403,11765.575334108773,0.6760659273750947
4.0,0.001,18722,12522.886530680762,0.6688861516227306
4.0,0.001,20040,13263.728708028217,0.6618627099814479
4.0,0.001,21359,13990.201790125555,0.6550026588382206
4.0,0.001,22941,14841.772207431217,0.6469540215087056
4.0,0.001,24523,15673.612662581481,0.6391392840427959
4.0,0.001,26237,16551.668747958247,0.6308521838608929
4.0,0.001,28082,17473.02045084895,0.6222142458104463
4.0,0.001,30060,18431.654437968115,0.6131621569517004
4.0,0.001,32038,19362.69744870657,0.604366609922797
4.0,0.001,34411,20445.83286610994,0.594165611755251
4.0,0.001,36784,21491.744512263358,0.5842688264534406
4.0,0.001,39289,22558.003620322885,0.574155708221713
4.0,0.001,42057,23693.513239006414,0.5633666985045632
4.0,0.001,44958,24837.00715701513,0.552449111548893
4.0,0.001,48122,26033.481153467037,0.5409891765401903
4.0,0.001,51550,27272.89933981055,0.5290572131874015
4.0,0.001,55110,28501.045401614778,0.5171664924989072
4.0,0.001,59065,29799.498587517228,0.5045204196650678
4.0,0.001,63152,31072.595489356496,0.4920286845920398
4.0,0.001,67503,32355.618381755947,0.4793211913804712
4.0,0.001,72249,33677.339238212524,0.4661287940070108
4.0,0.001,77391,35022.75857346336,0.45254304212974844
4.0,0.001,82796,36348.05487284226,0.439007378047759
4.0,0.001,88597,37677.10313582861,0.4252638705128685
4.0,0.001,94793,38997.694492767245,0.41139846289037424
4.0,0.001,101385,40299.73270773002,0.39749206201834614
4.0,0.001,108505,41598.22302424385,0.3833760934910267
4.0,0.001,116152,42879.084547393395,0.36916354903396753
4.0,0.001,124194,44110.55490260653,0.35517460507437176
4.0,0.001,132895,45323.407337752375,0.3410467462113125
4.0,0.001,135005,45599.83788506968,0.3377640671461774
4.0,0.005,4219,3117.5730116819777,0.7389364806072476
4.0,0.005,4351,3208.6460475863555,0.7374502522607115
4.0,0.005,4483,3299.3914160791974,0.7359784555162162
4.0,0.005,4615,3389.811776278858,0.7345204282294383
4.0,0.005,4747,3479.9097004314535,0.733075563604688
4.0,0.005,4879,3569.687680023379,0.7316433039605204
4.0,0.005,5010,3659.148131287496,0.7303688884805382
4.0,0.005,5142,3748.2934001780964,0.7289563205324964
4.0,0.005,5274,3837.1257668788926,0.727555132134792
4.0,0.005,5406,3925.647449899038,0.7261649000923118
4.0,0.005,5538,4013.860609804286,0.7247852310950318
4.0,0.005,5670,4101.767352624473,0.723415758840295
4.0,0.005,5801,4189.369732972183,0.7221806124758116
4.0,0.005,5933,4276.6697569038915,0.7208275336092856
4.0,0.005,6065,4363.669384550215,0.719483822679343
4.0,0.005,6197,4450.370532538626,0.7181491903402657
4.0,0.005,6329,4536.775076229711,0.7168233648648619
4.0,0.005,6724,4793.429737183439,0.7128836610921236
4.0,0.005,7252,5132.53409769014,0.7077404988541285
4.0,0.005,7779,5467.104969899916,0.7028030556498156
4.0,0.005,8306,5797.241437391476,0.697958275631047
