circuit_gbps,placement,regime,alpha_us,cut,applicable,retention,step_ratio,reason
200.0,blind,rail,3.0,tp,True,0.0003105817194100701,3219.764517690981,
200.0,blind,rail,3.0,cp,False,,,cp has degree 1 in this job
200.0,blind,rail,3.0,pp,True,0.04888911516336777,20.45445078435971,
200.0,blind,rail,3.0,dp,True,0.22026390931357348,4.540008406807916,
200.0,blind,rail,3.0,checkpoint,True,0.8160851262535503,1.0,
200.0,blind,campus-stitch,40.0,tp,True,0.00031057777224423794,3219.8054380195676,
200.0,blind,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
200.0,blind,campus-stitch,40.0,pp,True,0.0488886716048408,20.45463636408119,
200.0,blind,campus-stitch,40.0,dp,True,0.2201924662522674,4.541481445847163,
200.0,blind,campus-stitch,40.0,checkpoint,True,0.8160851112020078,1.0,
200.0,blind,metro,500.0,tp,True,0.00031052870774773663,3220.3141772398294,
200.0,blind,metro,500.0,cp,False,,,cp has degree 1 in this job
200.0,blind,metro,500.0,pp,True,0.048883157765396826,20.45694357142932,
200.0,blind,metro,500.0,dp,True,0.2193081094688803,4.559794904172932,
200.0,blind,metro,500.0,checkpoint,True,0.8160849240748113,1.0,
200.0,blind,region,40000.0,tp,True,0.0003063726060052137,3263.9993928927915,
200.0,blind,region,40000.0,cp,False,,,cp has degree 1 in this job
200.0,blind,region,40000.0,pp,True,0.0484142810886095,20.65506246327949,
200.0,blind,region,40000.0,dp,True,0.16306926071007063,6.132363608233634,
200.0,blind,region,40000.0,checkpoint,True,0.8160688562084321,1.0,
400.0,hierarchical,scale-up,0.5,tp,True,0.00433079737306828,230.9043609887296,
400.0,hierarchical,scale-up,0.5,cp,False,,,cp has degree 1 in this job
400.0,hierarchical,scale-up,0.5,pp,True,0.6067356412141158,1.6481642614548533,
400.0,hierarchical,scale-up,0.5,dp,True,0.9646380487462818,1.0366582588149797,
400.0,hierarchical,scale-up,0.5,checkpoint,True,0.8803738536221919,1.0,
400.0,hierarchical,rail,3.0,tp,True,0.004330789964840221,230.90475597259623,
400.0,hierarchical,rail,3.0,cp,False,,,cp has degree 1 in this job
400.0,hierarchical,rail,3.0,pp,True,0.6067353334795089,1.6481650973995443,
400.0,hierarchical,rail,3.0,dp,True,0.9646373194948873,1.0366590425131277,
400.0,hierarchical,rail,3.0,checkpoint,True,0.8803738521604767,1.0,
400.0,hierarchical,campus-stitch,40.0,tp,True,0.0043306803260282,230.91060173382286,
400.0,hierarchical,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
400.0,hierarchical,campus-stitch,40.0,pp,True,0.606730779043825,1.6481774693809768,
400.0,hierarchical,campus-stitch,40.0,dp,True,0.9646265267031631,1.0366706412457203,
400.0,hierarchical,campus-stitch,40.0,checkpoint,True,0.8803738305270892,1.0,
400.0,hierarchical,metro,500.0,tp,True,0.004329317712284009,230.98327876528887,
400.0,hierarchical,metro,500.0,cp,False,,,cp has degree 1 in this job
400.0,hierarchical,metro,500.0,pp,True,0.6066741620386551,1.648331283204185,
400.0,hierarchical,metro,500.0,dp,True,0.9644923662122364,1.0368148417049783,
400.0,hierarchical,metro,500.0,checkpoint,True,0.880373561571708,1.0,
400.0,hierarchical,region,40000.0,tp,True,0.00421542465950325,237.22402385856918,
400.0,hierarchical,region,40000.0,cp,False,,,cp has degree 1 in this job
400.0,hierarchical,region,40000.0,pp,True,0.6018515809835913,1.6615392093275296,
400.0,hierarchical,region,40000.0,dp,True,0.9531096069941756,1.0491972724456138,
400.0,hierarchical,region,40000.0,checkpoint,True,0.8803504681958952,1.0,
400.0,blind,scale-up,0.5,tp,True,0.0006209882223827541,1610.336499077171,
400.0,blind,scale-up,0.5,cp,False,,,cp has degree 1 in this job
